S/NO,NAME OF COMPANY,ADDRESS,ZONE,STATE
187,Math Seed and Allied company ltd.,"Plot No. 48, Kabuga Road, Opp FCE, kano State",NORTHWEST,KANO
188,Mazeeb General Enterprises Ltd,"No 50, Sokoto Road, BCGA, Funtua, Katsina",NORTH WEST,KATSINA
189,Melkom General Entreprises Limited,"D 167, 300 housing estate, Bukara Ibrahim way Maiduguri road, Damaturu, Yobe",NORTH EAST,YOBE
190,Melt Down,"NO 4,GIDAN MAITANGARAN,ZOO ROAD,KANO.",North West,Kano
191,MM Bello Nig Ltd.,"No. 1 Sokoto/Bakori Round About, Funtua, Katsina",NORTH WEST,KANO
192,Molag Seed Nigeria Ltd.,"No1. Zaria Birnin Gwari Road, Karau – Karu, Giwa, LGA, Kaduna State",NORTHWEST,KADUNA
193,Mollygreen Nigeria Limited,"N0.13, Mambilla Street, Aso Drive, Askoro, FCT",NORTH CENTRAL,FCT
194,Monsanto Agriculture Ltd,"Suite 127Ambeez Plaza, Wuse Zone 3, FCT",NORTH CENTRAL,FCT
195,MUFEEDA Farms and Investment Ltd,"km 12, jega, Birnin kebbi road, Kebbi state.",NORTH WEST,KEBBI
196,Muri Seed Nig. Ltd,"New line, new panteka oppNURTWU, off Nnamdi Azikwe express way, Kaduna or Bebeji house",NORTH WEST,KADUNA
197,Nabiu Agro and Investment Resources limited,"50,Sardauna road, kataguan LG",NORTH EAST,BAUCHI
198,Nagarta Agrikonsult & Farms  LTD.,"NO 3, SABON GARI LAYOUT, ALONG FORMER ACCESS BANK PLC, SABON KAURA NAMODA ROAD, SHINKAFI LGA, ZAMFARA STATE.",North West,Zamfara
199,Nagogo Seeds Nig.Ltd.,"65KM,OFF MARABA JOS RD,DOKAN ITU SOBA LG,KADUNA STATE.",North West,Kaduna
200,Niger Agro Seed Nig. Limited,"Wadata Palace Bida, Niger State",NORTH CENTRAL,NIGER
201,Notore Seeds Ltd,"Director Notore Chemical Industry, Former Nafcon, Onne P M B 5180 Port Harcourt and Director  Notore Industrial Estate, Onne, River State",South South,River
202,Obeleagu Farms Ltd,"24 anthony obeleagu street, phase 6 trans-ekulu, enugu, enugu state",SOUTH EAST,ENUGU
203,ocheking global limited,"25, upper floor N.U.J house Ankpa ward, Markurdi",NORTH CENTRAL,BENUE
204,Ogbuewu Integrated Farms Limited,"19 Onitsha Street, Abakaliki, Ebonyi State",SOUTH EAST,EBONYI
205,Peaceway Agric & Seeds Company,"Peaceway Agric & Seeds Company, 6 Ayetoro Road Adehun, Abeokuta, Ogun State.",SOUTH WEST,OGUN
206,Perfect Impact Nig.Ltd,"15,SIYANBOLA STREET,OFF BISHOP STREET.IGBONA. OSOGBO .",South West,Osun
207,Phenerow Seeds Nig. Ltd.,"I56, MANCHESTER STREET, ZARIA, KADUNA STATE.",North West,Kaduna
208,Phinomar Nig. Ltd,"UROKO CRESCENT, NGWO.ENUGU.",South East,Enugu
209,Plasmark  Agro Allied Services Ltd,"NO 22, CHORI STREET, MAHUTA, KADUNA STATE.",North West,Kaduna
210,Platinium Agricultural and Seeds Ltd,"Plot 4987, Garba Mata Road off Maingo road Jos, Plateau state.",NORTH CENTRAL,PLATEAU
211,Popular Farms and Mills Ltd.,"54,CHALLAWA INDUSTRIAL ESTATE,KANO, .",North West,Kano
212,Q for Q Farm Enterprises,"Plot No. 5 Kududdufawa Bayan Gidan Bako, Lamido, Ungogo LGA, Kano",NORTHWEST,KANO
213,Quality  Agro Inputs and Seeds Company ltd.,"37, MARKET ROAD, IZUAKOLI, ABIA STATE.",South East,Abia State
214,Ramallah Integrated Ltd.,"SUITE B2 AWMAN PLAZA OPPOSITE AJUJI HOTEL, GUDU DISTRICT FCT.",North Central,FCT
215,Raudah International Agro Allied Ltd,"No. 10, Hotoro Maiduguri road, Opp NNPC deport, Kano State.",NORTHWEST,KANO
216,Renascent Agro-Input and Seed Company,"Nyanya, Bekwarra LG Cross-river State",SOUTH SOUTH,CROSS-RIVER STATE
217,SAA Seeds Nig. LTD.,"TUMU VILLAGE, NEAR PIDINGAR AKKO, L. G.A. GOMBE STATE.",North East,Gombe
218,Sabek Agro-chemical and Farms Nig. Ltd,"Plot 9 Yola Street, Area 7, Garki, FCT",NORTH CENTRAL,FCT
219,Sack Fertilizer Limited,"NO.18 SOKOTO BY PASS FUNTUA, KATSINA STATE",NORTHWEST,KATSINA
220,Sadhuszah Global Nig. Ltd,"Opposite GTB, Galadima Aminu Way, Jimeta, Yola",NORTH EAST,ADAMAWA
221,SAGAD Farms,"13A Muritala Mohammed Way, Kano",NORTH WEST,KANO
222,Saidu Sanni Farms ltd,"DAMBA, GUSAU L.G.A, ZAMFARA STATE.",North West,Zamfara
223,Salami Alada Farms Nig .Ltd.,"National Stadium, Market Area,Kaduna",North West,Kaduna
224,SALAMUN KHRYM NIGERIA LIMITED,"2 zangon Aya, igabi LGA kaduna state",NORTH CENTRAL,KADUNA
225,Salshimda Farms,"Ung. ECWA Village, Kasuwa Magani, Kajuru L.G.A, Kaduna State",NORTHWEST,KADUNA
226,Samlak Ventures,"Plot 6 R Oba Alawode Layout Bode Igbo Ibadan, Oyo State",South West,Oyo
227,Sanco Dynamic Solutions,"No.6 Wharf Road, PZ, Zaria, Kaduna",NORTH WEST,KADUNA
228,Sangrom Agro Allied Nig. Ltd,"Mai Takalma Plaza, Market road, commercial area, Gombe, Gombe state",NORTH EAST,GOMBE
229,SEED.CO West Africa LTD.,42C/43C SALMA SHOPPING PLAZA GWAGWALADA.,North Central,FCT
